collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024131453448,2024,131453448,1,2,2,2,35,6,2,0,0,1,0,0,9,4,E01011447,7,1,1.0,0.0,1
2024131529520,2024,131529520,1,1,3,2,52,8,2,10,9,0,0,-1,0,7,E01010977,7,1,1.0,0.0,1
2024131451056,2024,131451056,1,2,1,1,18,4,3,0,0,0,0,0,9,1,E01011901,3,1,0.0,1.0,3
2024131463073,2024,131463073,1,1,3,2,80,11,2,6,9,0,0,-1,0,4,E01011545,7,1,1.0,0.0,1
2024131492402,2024,131492402,1,1,3,2,14,3,3,5,1,0,0,-1,0,2,E01011167,3,1,0.0,1.0,1
2024131413719,2024,131413719,2,1,1,1,39,7,3,0,0,0,0,0,9,1,E01011312,3,1,0.0,1.0,1
2024131463570,2024,131463570,1,1,1,1,60,9,3,0,0,0,0,0,9,2,E01011313,3,1,0.0,1.0,4
2024131458486,2024,131458486,2,1,1,1,52,8,3,0,0,0,0,0,1,-1,-1,3,1,0.0,1.0,-1
2024131418255,2024,131418255,1,2,2,1,22,5,2,0,0,2,0,0,9,3,E01010669,7,1,1.0,0.0,1
2024131514990,2024,131514990,2,3,2,2,13,3,3,0,0,1,0,0,9,10,E01010771,3,1,0.0,1.0,1
2024131450265,2024,131450265,1,1,1,1,23,5,2,0,0,0,0,0,9,4,E01010853,6,1,1.0,0.0,1
2024131474072,2024,131474072,1,1,1,1,47,8,3,0,0,0,0,0,9,7,E01032024,3,1,0.0,1.0,5
2024131412977,2024,131412977,1,2,1,2,56,9,3,0,0,0,0,0,9,1,E01011721,3,1,0.0,1.0,1
2024131475620,2024,131475620,2,1,2,1,19,4,2,0,0,1,0,0,9,1,E01011003,7,1,1.0,0.0,1
2024131496008,2024,131496008,1,1,1,2,54,8,3,0,0,0,0,0,9,2,E01011918,3,1,0.0,1.0,1
2024131532683,2024,131532683,1,1,3,2,28,6,3,5,3,0,0,-1,0,2,E01011128,3,1,0.0,1.0,1
2024131466351,2024,131466351,1,1,3,1,58,9,3,6,9,0,0,-1,0,5,E01011124,3,1,0.0,1.0,1
2024131468911,2024,131468911,1,1,3,1,30,6,3,10,9,0,0,-1,0,8,E01011297,3,1,0.0,1.0,1
2024131445156,2024,131445156,1,1,3,1,76,11,2,6,9,0,0,-1,0,5,E01011820,5,1,1.0,0.0,1
2024131412430,2024,131412430,2,1,1,2,40,7,3,0,0,0,0,0,9,1,E01011430,3,1,0.0,1.0,1
2024131436252,2024,131436252,3,2,1,1,28,6,3,0,0,0,0,0,9,1,E01010606,3,1,0.0,1.0,2
2024131521814,2024,131521814,2,4,2,2,21,5,3,0,0,2,0,0,9,5,E01011392,3,1,0.0,1.0,3
2024131408659,2024,131408659,1,1,1,1,60,9,3,0,0,0,0,0,1,8,E01011310,3,1,0.0,1.0,1
2024131453623,2024,131453623,1,1,1,2,30,6,3,0,0,0,0,0,9,1,E01010713,3,1,0.0,1.0,2
2024131443310,2024,131443310,2,1,1,1,51,8,3,0,0,0,0,0,9,7,E01011645,3,1,0.0,1.0,3
2024131428770,2024,131428770,1,1,1,1,24,5,2,0,0,0,0,0,9,9,E01011715,7,1,1.0,0.0,1
2024131522216,2024,131522216,1,1,3,2,32,6,3,8,1,0,0,-1,0,4,E01011044,3,1,0.0,1.0,1
2024131445775,2024,131445775,1,1,3,2,9,2,3,5,1,0,0,-1,0,1,E01011863,3,1,0.0,1.0,1
2024131431879,2024,131431879,2,1,1,1,21,5,3,0,0,0,0,0,9,9,E01010589,3,1,0.0,1.0,1
2024131470250,2024,131470250,1,1,1,2,39,7,3,0,0,0,0,0,9,6,E01010639,3,1,0.0,1.0,3
2024131449156,2024,131449156,3,3,1,1,39,7,3,0,0,0,0,0,9,5,E01010651,3,1,0.0,1.0,1
2024131435724,2024,131435724,1,3,2,2,20,4,3,0,0,2,0,0,9,1,E01011368,3,1,0.0,1.0,1
2024131562687,2024,131562687,2,1,1,2,40,7,3,0,0,0,0,0,9,1,E01011101,3,1,0.0,1.0,3
2024131492136,2024,131492136,1,1,3,2,11,3,3,6,9,0,0,-1,0,3,E01010984,3,1,0.0,1.0,1
2024131404200,2024,131404200,1,1,1,2,52,8,3,0,0,0,0,0,9,2,E01010804,3,1,0.0,1.0,1
2024131508243,2024,131508243,1,1,2,2,21,5,3,0,0,2,0,0,9,5,E01033010,3,1,0.0,1.0,1
2024131457321,2024,131457321,1,1,2,1,5,1,3,0,0,0,0,0,3,5,E01011819,3,1,0.0,1.0,1
2024131517830,2024,131517830,1,1,3,1,84,11,2,1,1,0,0,-1,0,8,E01010863,7,1,1.0,0.0,3
2024131438667,2024,131438667,2,1,1,1,30,6,3,0,0,0,0,0,1,3,E01011488,3,1,0.0,1.0,1
2024131406226,2024,131406226,2,1,1,1,35,6,3,0,0,0,0,0,9,7,E01011635,3,1,0.0,1.0,1
2024131426026,2024,131426026,2,2,1,1,40,7,3,0,0,0,0,0,8,1,E01010996,3,1,0.0,1.0,3
2024131484651,2024,131484651,2,1,1,1,11,3,3,0,0,0,0,0,1,2,E01011805,3,1,0.0,1.0,1
2024131462785,2024,131462785,2,2,2,2,21,5,3,0,0,1,0,0,9,4,E01011834,3,1,0.0,1.0,1
2024131489250,2024,131489250,1,1,3,2,11,3,2,1,3,0,0,-1,0,1,E01011472,7,1,1.0,0.0,1
2024131422272,2024,131422272,1,1,1,1,59,9,2,0,0,0,0,0,9,1,E01011025,7,1,1.0,0.0,1
2024131488480,2024,131488480,2,1,1,1,24,5,3,0,0,0,0,0,9,10,E01011213,3,1,0.0,1.0,1
2024131427506,2024,131427506,2,1,1,2,39,7,3,0,0,0,0,0,9,5,E01011063,3,1,0.0,1.0,1
2024131484385,2024,131484385,1,1,2,2,70,10,3,0,0,1,0,0,9,-1,-1,3,1,0.0,1.0,-1
2024131554460,2024,131554460,1,1,1,1,35,6,3,0,0,0,0,0,9,1,E01011080,3,1,0.0,1.0,2
2024131485879,2024,131485879,2,3,2,2,49,8,3,0,0,1,0,0,9,4,E01010656,3,1,0.0,1.0,1
2024131470365,2024,131470365,2,2,1,2,22,5,3,0,0,0,0,0,9,1,E01010620,3,1,0.0,1.0,2
2024131394450,2024,131394450,2,2,1,1,56,9,3,0,0,0,0,0,9,3,E01010761,3,1,0.0,1.0,2
2024131496451,2024,131496451,1,1,1,1,45,7,3,0,0,0,0,0,9,4,E01005217,3,1,0.0,1.0,4
2024131516833,2024,131516833,2,1,2,2,21,5,3,0,0,1,0,0,9,10,E01011411,3,1,0.0,1.0,1
2024131493838,2024,131493838,1,2,2,1,39,7,2,0,0,1,0,0,9,7,E01011849,7,1,1.0,0.0,2
2024131404491,2024,131404491,1,1,1,1,54,8,3,0,0,0,0,0,9,4,E01025605,3,1,0.0,1.0,4
2024131438028,2024,131438028,2,1,1,1,30,6,3,0,0,0,0,0,1,1,E01011354,3,1,0.0,1.0,1
2024131495775,2024,131495775,2,1,1,1,33,6,3,0,0,0,0,0,9,7,E01011561,3,1,0.0,1.0,3
2024131505063,2024,131505063,1,1,3,1,21,5,2,5,1,0,0,-1,0,3,E01011822,7,1,1.0,0.0,1
2024131511739,2024,131511739,2,1,2,2,11,3,3,0,0,0,0,0,9,6,E01010592,3,1,0.0,1.0,2
2024131477377,2024,131477377,2,2,1,1,34,6,3,0,0,0,0,0,9,2,E01004929,3,1,0.0,1.0,4
2024131416214,2024,131416214,2,1,1,2,46,8,3,0,0,0,0,0,9,1,E01011101,3,1,0.0,1.0,1
2024131435715,2024,131435715,1,1,3,1,4,1,3,10,8,0,0,-1,0,1,E01011476,3,1,0.0,1.0,1
2024131418929,2024,131418929,2,1,1,2,21,5,2,0,0,0,0,0,9,5,E01021100,7,1,1.0,0.0,5
2024131531796,2024,131531796,1,1,1,1,24,5,3,0,0,0,0,0,2,-1,-1,3,1,0.0,1.0,-1
2024131411783,2024,131411783,2,1,2,1,47,8,3,0,0,0,0,0,9,1,E01011373,3,1,0.0,1.0,1
2024131495476,2024,131495476,1,1,3,1,23,5,3,8,1,0,0,-1,0,1,E01011032,3,1,0.0,1.0,1
2024131444822,2024,131444822,2,1,1,1,17,4,3,0,0,0,0,0,1,6,E01011885,3,1,0.0,1.0,1
2024131440896,2024,131440896,1,1,1,1,42,7,3,0,0,0,0,0,9,1,E01010606,3,1,0.0,1.0,1
2024131458139,2024,131458139,1,1,3,2,2,1,2,5,2,0,0,-1,0,1,E01011422,7,1,1.0,0.0,1
2024131454995,2024,131454995,1,1,1,1,48,8,3,0,0,0,0,0,9,2,E01010929,3,1,0.0,1.0,3
2024131508214,2024,131508214,2,1,1,1,52,8,3,0,0,0,0,0,9,1,E01033693,3,1,0.0,1.0,1
2024131402835,2024,131402835,2,1,1,1,21,5,2,0,0,0,0,0,1,4,E01011462,7,1,1.0,0.0,1
2024131507012,2024,131507012,2,2,2,2,19,4,3,0,0,2,0,0,9,5,E01011733,3,1,0.0,1.0,1
2024131422140,2024,131422140,1,1,1,1,18,4,3,0,0,0,0,0,3,7,E01034266,3,1,0.0,1.0,1
2024131487639,2024,131487639,2,1,1,2,56,9,3,0,0,0,0,0,9,4,E01010678,3,1,0.0,1.0,1
2024131496681,2024,131496681,1,1,2,1,59,9,3,0,0,1,0,0,9,6,E01011885,3,1,0.0,1.0,3
2024131520053,2024,131520053,2,1,1,1,44,7,3,0,0,0,0,0,9,6,E01027915,3,1,0.0,1.0,3
2024131416115,2024,131416115,1,1,1,2,24,5,3,0,0,0,0,0,9,5,E01033008,3,1,0.0,1.0,4
2024131397611,2024,131397611,2,1,1,1,44,7,3,0,0,0,0,0,21,1,E01005086,3,1,0.0,1.0,4
2024131491446,2024,131491446,2,1,2,2,70,10,3,0,0,1,0,0,9,7,E01011329,3,1,0.0,1.0,2
2024131448095,2024,131448095,1,1,1,1,63,9,2,0,0,0,0,0,5,1,E01011899,7,1,1.0,0.0,1
2024131424741,2024,131424741,1,1,3,2,81,11,1,8,1,0,0,-1,0,3,E01010704,1,1,0.0,0.0,1
2024131480263,2024,131480263,3,1,1,1,39,7,3,0,0,0,0,0,9,6,E01011451,3,1,0.0,1.0,1
2024131478598,2024,131478598,1,1,1,1,49,8,3,0,0,0,0,0,9,2,E01011815,3,1,0.0,1.0,1
2024131411119,2024,131411119,1,1,1,2,23,5,2,0,0,0,0,0,9,4,E01011705,7,1,1.0,0.0,1
2024131434955,2024,131434955,2,1,1,1,49,8,2,0,0,0,0,0,9,2,E01011926,6,1,1.0,0.0,1
