collision_index,collision_year,collision_ref_no,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane_historic,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,generic_make_model,driver_imd_decile,lsoa_of_driver,escooter_flag,driver_distance_banding
2024131459645,2024,131459645,1,9,0,-1,10,1,5,-1,0,8,0,0,0,0,3,1,-1,9,1,44,7,1591,1,5,HYUNDAI TUCSON,7,E01011942,0,1
2024131439205,2024,131439205,1,9,0,-1,19,1,5,-1,0,2,0,0,0,0,1,1,-1,7,1,62,9,1685,2,8,HYUNDAI TUCSON,4,E01011909,0,1
2024131424312,2024,131424312,2,9,0,-1,19,1,5,-1,0,1,2,0,0,0,4,1,-1,9,1,31,6,1598,1,1,HYUNDAI TUCSON,4,E01011921,0,1
2024131498285,2024,131498285,2,9,0,-1,4,2,6,-1,0,8,0,0,0,0,2,1,-1,9,1,67,10,1685,2,6,HYUNDAI TUCSON,1,E01011559,0,1
2024131399230,2024,131399230,3,9,0,-1,2,0,0,-1,1,0,0,0,0,0,2,1,-1,6,-1,-1,-1,1598,8,2,HYUNDAI TUCSON,-1,-1,0,-1
2024131490160,2024,131490160,1,9,0,-1,19,1,5,-1,0,8,0,4,0,0,1,1,-1,9,2,46,8,1598,8,2,HYUNDAI TUCSON,8,E01011884,0,3
2024131500443,2024,131500443,2,9,0,-1,10,1,3,-1,0,0,0,0,0,0,1,1,-1,2,1,55,8,1598,8,0,HYUNDAI TUCSON,2,E01011295,0,1
2024131404969,2024,131404969,1,9,0,-1,3,1,1,-1,0,0,0,0,0,0,2,1,-1,6,2,48,8,1598,1,1,HYUNDAI TUCSON,2,E01011421,0,2
2024131419515,2024,131419515,1,9,0,-1,19,2,6,-1,0,0,0,0,0,0,1,1,-1,6,2,50,8,1598,8,2,HYUNDAI TUCSON,6,E01035051,0,2
2024131491046,2024,131491046,2,9,0,-1,9,8,6,-1,0,8,0,0,0,0,4,1,-1,9,1,54,8,1591,1,5,HYUNDAI TUCSON,8,E01011800,0,1
2024131411033,2024,131411033,1,9,0,-1,6,3,7,-1,0,8,0,0,0,0,1,1,-1,6,-1,38,7,1598,8,2,HYUNDAI TUCSON,6,E01011394,0,1
2024131513212,2024,131513212,1,9,0,-1,5,1,5,-1,0,2,0,0,0,0,1,1,-1,9,1,42,7,1591,1,4,HYUNDAI TUCSON,9,E01011568,0,1
2024131468015,2024,131468015,2,9,0,-1,5,1,5,-1,9,0,0,0,0,0,1,1,-1,9,1,53,8,1598,1,1,HYUNDAI TUCSON,1,E01011363,0,1
2024131520006,2024,131520006,1,9,0,-1,19,7,3,-1,0,0,0,0,0,0,1,1,-1,6,2,60,9,1598,1,2,HYUNDAI TUCSON,10,E01011088,0,2
2024131412566,2024,131412566,2,9,0,-1,4,1,5,-1,0,1,0,0,0,0,2,1,-1,9,2,52,8,1995,1,3,JEEP WRANGLER,6,E01011062,0,2
2024131481048,2024,131481048,1,5,0,-1,19,1,5,-1,0,1,0,0,0,0,1,1,-1,6,2,38,7,649,1,18,KAWASAKI ER,5,E01011392,0,1
2024131419114,2024,131419114,1,5,0,-1,19,3,7,-1,0,0,1,11,0,0,3,1,-1,9,1,49,8,498,1,25,KAWASAKI ER,9,E01011278,0,1
2024131486721,2024,131486721,2,9,0,-1,9,1,5,-1,0,8,0,0,0,0,2,1,-1,1,1,38,7,-1,3,1,MERCEDES EQB CLASS,9,E01011844,0,3
2024131503859,2024,131503859,1,9,0,-1,4,8,4,-1,0,0,0,0,0,0,1,1,-1,9,2,70,10,1499,1,5,MINI COUNTRYMAN,7,E01011635,0,2
2024131451998,2024,131451998,1,9,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,6,3,-1,-1,1995,2,8,MINI COUNTRYMAN,-1,-1,0,-1
2024131407665,2024,131407665,1,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,6,3,-1,-1,1598,1,10,MINI COUNTRYMAN,-1,-1,0,-1
2024131491764,2024,131491764,1,9,0,-1,19,7,5,-1,0,1,1,0,0,0,1,1,-1,9,1,38,7,1995,2,12,MINI COUNTRYMAN,6,E01011155,0,1
2024131509091,2024,131509091,1,9,0,-1,19,1,5,-1,0,0,0,0,0,0,2,1,-1,1,1,60,9,1598,2,13,MINI COUNTRYMAN,8,E01011496,0,1
2024131434579,2024,131434579,2,9,0,-1,19,7,7,-1,0,0,0,0,1,0,1,2,-1,2,2,32,6,1598,2,9,MINI COUNTRYMAN,2,E01007467,0,2
2024131520549,2024,131520549,2,9,0,-1,19,7,3,-1,0,0,0,0,0,0,2,1,-1,6,2,41,7,1995,2,6,MINI COUNTRYMAN,5,E01011793,0,2
2024131503587,2024,131503587,2,9,0,-1,19,5,1,-1,0,1,0,0,0,0,1,1,-1,2,2,64,9,1598,1,9,MINI COUNTRYMAN,4,E01010688,0,1
2024131492238,2024,131492238,2,9,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,4,1,-1,9,1,24,5,1499,8,0,MINI COUNTRYMAN,7,W01000081,0,5
2024131447330,2024,131447330,1,9,0,-1,19,1,5,-1,0,0,0,0,6,9,1,1,-1,9,1,19,4,995,1,15,CHEVROLET MATIZ,2,E01005435,0,3
2024131395340,2024,131395340,2,3,0,-1,19,7,3,-1,0,8,1,0,0,0,1,1,-1,1,1,75,10,125,1,3,LEXMOTO TITAN,5,E01011065,0,1
2024131425161,2024,131425161,1,19,0,-1,19,5,1,-1,0,0,0,0,1,3,1,1,-1,6,2,50,8,1461,2,9,MERCEDES CITAN,7,E01011193,0,1
2024131412724,2024,131412724,2,9,0,-1,4,1,1,-1,0,8,0,0,0,0,3,1,-1,9,2,51,8,1597,1,4,SSANGYONG TIVOLI,5,E01010689,0,1
2024131405992,2024,131405992,1,2,0,-1,19,4,4,-1,0,8,0,0,0,0,1,1,-1,9,1,17,4,49,1,6,SYM MASK,1,E01010650,0,1
2024131516542,2024,131516542,1,5,0,-1,5,3,7,-1,0,0,0,4,0,0,1,1,-1,9,1,51,8,599,1,20,TRIUMPH DAYTONA,7,E01011849,0,1
2024131442313,2024,131442313,1,19,0,-1,15,5,1,-1,0,8,1,10,7,10,1,1,-1,1,1,42,7,1248,2,13,VAUXHALL COMBO,1,E01007474,0,3
2024131525692,2024,131525692,1,9,0,-1,19,3,7,-1,0,0,1,0,0,0,1,1,-1,9,1,44,7,1499,2,3,VAUXHALL COMBO,7,E01011112,0,1
2024131511723,2024,131511723,1,9,0,-1,19,5,1,-1,0,8,0,0,0,0,1,1,-1,9,1,71,10,1199,1,3,VAUXHALL COMBO,10,E01011549,0,1
2024131434175,2024,131434175,3,19,0,-1,19,7,3,-1,0,0,0,4,0,0,2,1,-1,2,1,46,8,1499,2,4,VAUXHALL COMBO,6,E01010883,0,3
2024131576541,2024,131576541,1,9,0,-1,19,1,3,-1,2,2,0,0,0,0,3,1,-1,2,1,34,6,-1,-1,-1,VAUXHALL COMBO,1,E01011686,0,1
2024131482537,2024,131482537,2,19,0,-1,4,4,8,-1,0,8,0,0,0,0,2,1,-1,1,1,58,9,1499,2,3,VAUXHALL COMBO,2,E01012406,0,4
2024131469563,2024,131469563,2,9,0,-1,19,5,1,-1,0,0,0,0,0,0,2,1,-1,1,1,36,7,-1,-1,-1,VAUXHALL COMBO,7,E01010901,0,1
2024131425083,2024,131425083,1,9,0,-1,19,2,6,-1,0,1,0,0,0,0,1,1,-1,1,1,40,7,-1,-1,-1,VAUXHALL COMBO,6,E01007321,0,2
2024131449156,2024,131449156,2,19,0,-1,19,4,8,-1,0,8,0,0,0,0,1,1,-1,9,1,65,9,1248,2,19,VAUXHALL COMBO,8,E01010573,0,1
2024131471162,2024,131471162,1,19,0,-1,19,1,5,-1,0,8,0,0,0,0,1,1,-1,1,1,41,7,1248,2,7,VAUXHALL COMBO,1,E01010653,0,3
2024131434175,2024,131434175,4,19,0,-1,2,0,0,-1,0,0,0,10,1,0,3,1,-1,6,-1,-1,-1,1248,2,9,VAUXHALL COMBO,-1,-1,0,-1
2024131484310,2024,131484310,1,19,0,-1,19,8,4,-1,0,0,5,10,7,4,4,2,-1,6,1,37,7,1248,2,14,VAUXHALL COMBO,6,E01011042,0,3
2024131442313,2024,131442313,2,19,0,-1,9,5,1,-1,0,8,0,0,0,0,4,1,-1,1,2,24,5,1248,2,13,VAUXHALL COMBO,8,E01013073,0,3
2024131448965,2024,131448965,1,9,0,-1,9,3,6,-1,0,8,0,0,0,0,3,1,-1,9,1,84,11,1984,2,10,VOLVO V40,7,E01011878,0,1
